Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Meteorological,Storm,Blizzard/Winter storm,Russian Federation,Eastern Europe,Europe,Crimée; Krasnodar,0,86.0,Kph,2023,2023,2.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Blizzard/Winter storm,Türkiye,Western Asia,Asia,0,0,0.0,Kph,2023,2023,2.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Blizzard/Winter storm,Ukraine,Eastern Europe,Europe,"Odessa, Mykolaïv, Kharkiv, Kiev, Donetsk, Lougansk, Zaporijjia, Kherson, Cherkasy, Kirovograd and Capital Kyiv area",0,0.0,Kph,2023,2023,12.0,23.0,0.0,23.0,0.0,0.0
Hydrological,Flood,Flood (General),United Republic of Tanzania,Sub-Saharan Africa,Africa,"Dar Es Salaam, Kigoma, Kagera, Geita, Unguja, Arusha,Pwani",Heavy rains,0.0,Km2,2023,2023,38.0,0.0,2896500.0,2896500.0,0.0,0.0
Hydrological,Flood,Flood (General),Burundi,Sub-Saharan Africa,Africa,"Buganda, Murwi and Rugombo (Cibitoke)",Intense rain,0.0,Km2,2023,2023,7.0,0.0,9312.0,9312.0,0.0,0.0
Hydrological,Flood,Flood (General),Colombia,Latin America and the Caribbean,Americas,"Atlantico, Bolivar, Magdalena, La Guajira",0,0.0,Km2,2023,2023,0.0,0.0,41088.0,41088.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,Fiji,Melanesia,Oceania,"Central, Eastern, Northern, Western, Rotuma",0,0.0,Kph,2023,2023,0.0,0.0,230000.0,230000.0,0.0,0.0
Meteorological,Storm,Severe weather,India,Southern Asia,Asia,Gujarat state,0,0.0,Kph,2023,2023,24.0,25.0,0.0,25.0,0.0,0.0
Hydrological,Flood,Flood (General),Peru,Latin America and the Caribbean,Americas,"Chilca District, Huancan District and Huancayo District (Huancayo Province, Junìn Department) ",0,0.0,Km2,2023,2023,0.0,0.0,168.0,168.0,0.0,0.0
Hydrological,Flood,Flood (General),Australia,Australia and New Zealand,Oceania,"New South Wales, Victoria, South Australia and south-eastern Queensland States ",Heavy rains,0.0,Km2,2023,2023,0.0,0.0,390.0,390.0,0.0,0.0
Geophysical,Volcanic activity,Ash fall,Indonesia,South-eastern Asia,Asia,Sumatra Isl.,0,0.0,0,2023,2023,23.0,12.0,75.0,87.0,0.0,0.0
Meteorological,Extreme temperature,Cold wave,Jordan,Western Asia,Asia,"Ajloun, Karak, Mafraq, Amman, Taleh, Irbid, Maan",0,10.0,°C,2023,2023,0.0,0.0,2000.0,2000.0,0.0,0.0
Meteorological,Storm,Storm (General),Central African Republic,Sub-Saharan Africa,Africa,"Borno, Amameu, Yadouma, Yafara, Boy-gbaya, Moussa-Gbadou 1, 2 and 3 (Bria, Haute Kotto Prefecture)",0,0.0,Kph,2023,2023,0.0,0.0,6066.0,6066.0,0.0,0.0
Meteorological,Storm,Severe weather,United States of America,Northern America,Americas,"Nashville City, Davidson County; Clarksville City, Montgomery County in (Tennesee state); Louisiana; Connecticut",0,0.0,Kph,2023,2023,6.0,91.0,1950.0,2041.0,100000.0,100000.0
Hydrological,Mass movement (wet),Landslide (wet),Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Bukavu,Heavy rains,0.0,0,2023,2023,14.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,Australia,Australia and New Zealand,Oceania,"Cairns, Port Douglas, Daintree, Cooktown, Wujal Wujal and Hope Vale (Queensland)",0,220.0,Kph,2023,2023,0.0,0.0,300.0,300.0,0.0,0.0
Climatological,Wildfire,Wildfire (General),Chile,Latin America and the Caribbean,Americas,"Valparaiso, O'Higgins and Santiago Metropolitan Regions",0,0.0,Km2,2023,2023,0.0,7.0,375.0,382.0,0.0,0.0
Meteorological,Storm,Severe weather,Argentina,Latin America and the Caribbean,Americas,Bahía Blanca and Moreno Cities (Buenos Aires Province),0,150.0,Kph,2023,2023,15.0,14.0,300.0,314.0,125000.0,125000.0
Meteorological,Storm,Severe weather,Uruguay,Latin America and the Caribbean,Americas,Colonia Department,0,167.0,Kph,2023,2023,2.0,0.0,0.0,0.0,0.0,0.0
Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,Gansu province; Haidong (Qinghai province),0,5.9,Moment Magnitude,2023,2023,151.0,980.0,600000.0,600980.0,1000000.0,1000000.0
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,"Davao, Northern Mindanao, Caraga, Mimaropa, Western Visayas and Eastern Visayas)",0,0.0,Kph,2023,2023,1.0,1.0,425866.0,425867.0,42.0,42.0
Meteorological,Storm,Severe weather,United States of America,Northern America,Americas,"Massachusetts, Maine, New Jersey, New York, Pennsylvania and South Carolina",0,0.0,Kph,2023,2023,7.0,12.0,57.0,69.0,1300000.0,1300000.0
Hydrological,Flood,Flood (General),Angola,Sub-Saharan Africa,Africa,"Luanda, Huambo, Bie, Malanje and Kwanza Norte provinces",Heavy rains,0.0,Km2,2023,2023,30.0,0.0,26460.0,26460.0,0.0,0.0
